iter	Passed	Remaining
0	60	6032
1	62	3053
2	63	2061
3	65	1562
4	66	1267
5	68	1067
6	69	926
7	71	817
8	72	736
9	74	666
10	75	609
11	76	562
12	77	521
13	79	486
14	80	456
15	81	430
16	83	407
17	84	386
18	86	367
19	87	349
20	88	334
21	90	319
22	91	305
23	92	292
24	93	281
25	95	271
26	96	261
27	98	252
28	99	243
29	101	235
30	102	227
31	103	220
32	104	212
33	106	206
34	107	200
35	109	194
36	110	188
37	111	182
38	113	177
39	114	172
40	116	167
41	117	162
42	119	157
43	120	153
44	121	148
45	123	144
46	124	140
47	125	136
48	127	132
49	128	128
50	130	124
51	131	121
52	132	117
53	134	114
54	135	111
55	137	107
56	138	104
57	140	101
58	141	98
59	142	95
60	144	92
61	145	89
62	147	86
63	148	83
64	149	80
65	151	77
66	152	75
67	153	72
68	155	69
69	156	67
70	157	64
71	159	61
72	160	59
73	161	56
74	162	54
75	164	51
76	165	49
77	166	47
78	168	44
79	169	42
80	170	40
81	171	37
82	173	35
83	174	33
84	175	31
85	177	28
86	178	26
87	179	24
88	180	22
89	182	20
90	183	18
91	184	16
92	186	14
93	187	11
94	188	9
95	190	7
96	191	5
97	192	3
98	194	1
99	195	0
